Name,Publisher/Promoter,Size,Format,Source and Context,Type of Speech,Regional Varieties,Sociolinguistic Variations,Multilingual Corpus,Data Collection,Recording Methods,Participant Selection,Transcription Standard,Annotation Levels,Tools and Software Used,Quality Control and Validation,Availability,URL,References,Other
KIParla - Corpus of Spoken Italian,Developed collaboratively by the Universities of Bologna and Turin.,"The corpus comprises over 150 hours of recorded conversations, totaling approximately 1,144,067 tokens.","The dataset includes audio recordings aligned with their transcriptions. Transcriptions are available in both orthographic and simplified conversational formats, accessible through the NoSketch Engine interface.","Data were collected from various communicative situations, including semi-structured interviews, spontaneous conversations, table discussions, lectures, exams, and student receptions. Recordings were made in multiple Italian cities, notably Bologna and Turin.","The corpus encompasses a range of speech types such as conversational, monologues, spontaneous, and read speech.","Includes speakers from diverse Italian regions, capturing various dialects and idiomatic expressions.","Features participants of different ages, genders, educational backgrounds, and socio-economic statuses. Age, gender, level of education are mapped. Ages span from 16 to over 85.",Primarily focuses on Italian but may include instances of code-switching or influence from other languages due to Italy's linguistic diversity.,"Recordings were conducted overtly, with all participants providing informed consent in compliance with European data protection regulations. All data have been collected by professional researchers and trained students and interns of the universities involved.",,"Participants were selected based on criteria such as age, gender, regional origin, and educational background to ensure a representative sample. Ages span from 16 to over 85. ","Employed a simplified version of the Jefferson system, commonly used in conversation analysis.","Transcriptions include lexical, syntactic, and prosodic annotations.","Transcriptions were created using ELAN software, facilitating alignment with audio recordings.",Data underwent anonymization and were reviewed for accuracy and consistency. Sensitive information was replaced or covered in both transcripts and audio files.,The corpus is accessible online through the NoSketch Engine interface. Data downloaded via the platform are shared under the Creative Commons BY-NC-SA 4.0 license.,https://kiparla.it/,https://ceur-ws.org/Vol-2481/paper45.pdf,"The corpus is designed for incremental modularity, allowing for future additions and updates to enhance its scope and representativeness."
MLS - Multilingual Large Scale Dataset,Facebook,"279.43 hours (Train: 247.38 hours, Dev: 5.18 hours, Test: 5.27 hours)",Audio files in WAV format with aligned text files,Read audiobooks sourced from LibriVox,Read speech,Primarily standard Italian with potential regional accents,Limited; influenced by the original speakers of the audiobooks,"Yes, includes multiple languages (e.g., English, German, French, Dutch, Italian)",Sourced from public domain audiobooks on LibriVox,Volunteer-based recordings with varying audio quality,Diverse range of speakers due to open LibriVox contributions,Orthographic transcriptions matching spoken content,Lexical-level alignment,Custom alignment tools by Facebook,Transcript and audio alignment reviewed; quality varies due to volunteer recordings,Open access via OpenSLR,https://www.openslr.org/94/,Pratap et al. (2020). 'MLS: A Large-Scale Multilingual Dataset for Speech Research'. https://arxiv.org/pdf/2012.03411,Detailed size information specific to the Italian subset has been added
DEMoS - an Italian emotional speech corpus,University of Augsburg and University of Rome Tor Vergata,"9,697 recordings (9,365 emotional + 332 neutral samples)","WAV audio format, 44.1 kHz, 16-bit resolution",Created using mood induction procedures for emotional speech,Emotional speech including spontaneous expressions,Standard Italian with potential regional accents,"68 native speakers (23 females, 45 males), ages 20-64, varied backgrounds","No, specific to Italian",Emotions elicited using six different mood induction procedures,High-quality microphones in soundproof rooms,Native Italian speakers with vocal expressivity,Orthographic transcriptions,"Emotional labels for 'big six' emotions + neutral, guilt; prosodic features",openSMILE for feature extraction; SVM classifiers for experiments,"Self-assessments, external evaluations, perception test with 86 listeners","Available for research, requires EULA, restricted to academic use",https://zenodo.org/record/2544829,"Parada-Cabaleiro, E., Costantini, G., Batliner, A., Schmitt, M., & Schuller, B. W. (2020). 'DEMoS: an Italian emotional speech corpus.' Language Resources and Evaluation, 54, 341–383. https://link.springer.com/article/10.1007/s10579-019-09450-y",Supports research in speech emotion recognition and affective computing
EMOVO Corpus: an Italian Emotional Speech Database,Sapienza University of Rome,588 emotional utterances,"WAV audio format, recorded at 48 kHz with 16-bit resolution",Recorded with the aim to cover seven basic emotions,"Emotional speech, acted by actors","Standard Italian, performed by actors from central Italy","Speakers include 6 males and 6 females, selected for balanced gender representation","No, specific to Italian",Actors performed specific sentences portraying various emotions,High-quality equipment in an acoustically treated studio,Actors selected for their ability to perform clear emotional expressions,Orthographic transcriptions aligned with recordings,"Emotional labels for seven emotions: joy, sadness, anger, fear, surprise, disgust, and neutral",Standard recording and annotation tools for speech analysis,Validation performed through perception tests involving listeners,Available for research; specific access details may apply,https://aclanthology.org/L14-1478/,"Cosi, P., Tesser, F., Pellom, B., & Coletti, P. (2014). 'EMOVO Corpus: an Italian Emotional Speech Database.' Proceedings of the 9th Language Resources and Evaluation Conference (LREC). http://www.lrec-conf.org/proceedings/lrec2014/pdf/591_Paper.pdf",Useful for research in speech emotion recognition and synthesis
EMOFILM - a multilingual emotional speech corpus,Research consortium (details to be specified),Details on the specific size for Italian data to be verified,"Audio recordings in common formats like WAV, with associated annotations",Speech samples extracted from multilingual film dialogues,Emotionally charged speech sourced from films,"Standard Italian and other regional accents, depending on the content",Varies depending on the actors' profiles in the film dialogues,"Yes, includes multiple languages with a focus on emotional speech",Extracted from a range of films chosen for emotional content,Audio extracted from professional film recordings,Actors and characters featured in various films,Orthographic transcriptions aligned with film dialogue,"Emotion labels, potentially prosodic and discourse-level annotations",Software for audio extraction and annotation,Validation through manual checks and alignment to ensure accurate representation of emotions,Accessible via Zenodo for research purposes,https://zenodo.org/records/7665999,,A valuable resource for cross-linguistic emotion analysis and multilingual speech processing
Italian Scripted Monologue Dataset,Defined.ai,"2,531 hours","Audio recordings in WAV format, 16kHz, 16-bit",Speakers reading selected phrases on mobile devices,Scripted monologues,Standard Italian,Includes speakers from various demographics,"No, specific to Italian",Speakers read pre-defined scripts; recordings validated by multiple human annotators,Recorded on mobile devices,Diverse native Italian speakers,Orthographic transcriptions aligned with recordings,Lexical and syntactic annotations,Defined.ai's proprietary tools for collection and validation,Multiple human validations to ensure perfect match between text and audio,Available for commercial licensing through Defined.ai,https://www.defined.ai/datasets/italian-scripted-monologue,,Ideal for creating baseline models in speech recognition and related applications
Italian Spontaneous Dialogue Dataset,Defined.ai,"1,797 hours","Audio recordings in WAV format, 8kHz, 16-bit","Unscripted conversations covering sectors like banking, insurance, retail, and telecommunications",Spontaneous dialogues,Standard Italian with potential regional accents,Includes speakers from diverse demographics,"No, specific to Italian","Conversations recorded via telephony, saved in 8kHz 16-bit per channel",Conducted in both noisy and silent environments to simulate real-world scenarios,Native Italian speakers from Italy,Orthographic transcriptions aligned with recordings,"Lexical, syntactic, and prosodic annotations",Defined.ai's proprietary tools for collection and validation,Multiple human validations to ensure accuracy and consistency,Available for commercial licensing through Defined.ai,https://www.defined.ai/datasets/italian-spontaneous-dialogue,,Ideal for training AI models in natural language understanding and speech recognition
Italian Lifestyle Podcast Dataset,Defined.ai,60 hours,Audio recordings in WAV format,"Live Italian podcasts focusing on lifestyle topics, particularly mindfulness","Spontaneous, conversational speech",Standard Italian,"Features a range of speakers, potentially including various age groups and backgrounds","No, specific to Italian",Curated from publicly available Italian podcasts,"Original podcast recordings, quality may vary based on source","Podcast hosts and guests, representing authentic conversational dynamics",Not specified,Not specified,Not specified,Not specified,Available for commercial licensing through Defined.ai,https://www.defined.ai/datasets/italian-lifestyle-podcast,,Suitable for training AI models in natural language understanding and speech recognition within the lifestyle domain
VoxPopuli,Facebook AI,"400,000 hours of unlabeled speech data in 23 languages; 1,800 hours of transcribed speech in 16 languages; 17,300 hours of speech-to-speech interpretation data",Audio recordings in WAV format with corresponding transcriptions and interpretations,"European Parliament event recordings from 2009 to 2020, including plenary sessions and committee meetings",Formal speeches and interpretations,Standard dialects of 23 European languages,"Speakers include European Parliament members and interpreters, representing various European countries and linguistic backgrounds","Yes, encompassing 23 languages",Collected from publicly available European Parliament recordings,Professional recording equipment used during official parliamentary sessions,European Parliament members and professional interpreters,Orthographic transcriptions aligned with audio recordings,Includes transcriptions and speech-to-speech interpretations,Not specified,Not specified,Available for research purposes; access details provided on the GitHub repository,https://github.com/facebookresearch/voxpopuli,"Wang, C., Riviere, M., Lee, A., Wu, A., Talnikar, C., Haziza, D., Williamson, M., Pino, J., & Dupoux, E. (2021). 'VoxPopuli: A Large-Scale Multilingual Speech Corpus for Representation Learning, Semi-Supervised Learning and Interpretation.' arXiv preprint arXiv:2101.00390.","The dataset is suitable for research in speech recognition, translation, and representation learning."
Europarl-ST,Universitat Politècnica de València,"Total: 72 hours of speech translation data across 9 languages. Italian Segment: Approximately 64.18 hours of audio clips, with around 20 hours having Italian transcriptions.",Audio recordings in WAV format with aligned transcriptions and translations.,Derived from European Parliament debates between 2008 and 2012.,Formal parliamentary speeches.,Standard Italian as used in official parliamentary sessions.,Speakers include Members of the European Parliament from diverse backgrounds.,"Yes, encompassing 9 European languages: English, French, German, Spanish, Italian, Portuguese, Romanian, Polish, and Dutch.",Extracted from publicly available recordings of European Parliament sessions.,Professional recordings made during official parliamentary proceedings.,Members of the European Parliament and official interpreters.,Orthographic transcriptions aligned with audio recordings.,Includes transcriptions and translations for speech translation tasks.,Not specified.,Not specified.,Freely accessible under a Creative Commons license.,https://mllp.upv.es/europarl-st/,"Iranzo-Sánchez, J., Silvestre-Cerdà, J. A., Jorge, J., Roselló, N., Giménez, A., Sanchis, A., Civera, J., & Juan, A. (2020). 'Europarl-ST: A Multilingual Corpus for Speech Translation of Parliamentary Debates.' ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP), 8229-8233. https://doi.org/10.1109/ICASSP40776.2020.9054626",The dataset is suitable for research in speech translation and related fields.
